District,Chiefdom,Name of PHU,Community,School Name,School Enrollment,EMIS Number,School Status
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,MADINA GBONIKOBOR (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,156,2302-2-05037,Old
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,KAKOYA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,154,2302-2-05031,Old
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,KAMASAPIE (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,77,2302-2-05032,Old
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,THANKOROSIDIA (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,277,2302-2-05036,Old
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),AL-HARRAN ISLANMIC PRIMARY SCHOOL_2026_new,151,2303-2-05048,Old
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,189,2303-2-05049,Old
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,358,2303-2-05046,Old
KOINADUGU,KALIAN,Alkalia CHP,YIFFIN (KALIAN),CHRIST REFORM CHURCH PRIMARY SCHOOL_2026_new,149,2303-2-13142,Old
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,334,2303-2-05055,Old
KOINADUGU,KALIAN,Kendeya MCHP,KONIYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,88,2303-2-12850,Old
KOINADUGU,KALIAN,Kendeya MCHP,Lanakoro,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,747,9999-9-99999,New
KOINADUGU,KALIAN,Kendeya MCHP,Ropolo,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,666,9999-9-99999,New
KOINADUGU,KALIAN,Kendeya MCHP,Senbelfeh,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,608,9999-9-99999,New
KOINADUGU,KALIAN,Kumala CHC,FARANKORO (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,236,2303-2-05070,Old
KOINADUGU,KALIAN,Kumala CHC,Kumala,KIPS PRIMARY SCHOOL_2026_new,967,9999-9-99999,New
KOINADUGU,KALIAN,Kumala CHC,KUMALA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,279,2303-2-05067,Old
KOINADUGU,KALIAN,Kumala CHC,KUMALA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,391,2303-2-05069,Old
KOINADUGU,KALIAN,Kumala CHC,LIROH (KALIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,222,2303-2-05044,Old
KOINADUGU,KALIAN,Kumala CHC,YORIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,282,2303-2-05068,Old
KOINADUGU,KALIAN,Sesaywulia MCHP,SESAYWULIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,366,2303-2-05072,Old
KOINADUGU,KALIAN,Worombaia MCHP,WOROBAIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,353,2303-2-05042,Old
KOINADUGU,KAMUKEH,Kambalia MCHP,KAMBALIA (WARA WARA BAFODIA),N.B.C. PRIMARY SCHOOL_2026_new,403,2309-2-05265,Old
KOINADUGU,KAMUKEH,Kambalia MCHP,MONGOFEH (KAMUKEH),N.B.C PRIMARY SCHOOL_2026_new,195,2304-2-12844,Old
KOINADUGU,KAMUKEH,Kambia MCHP,KAMBIA (WARA WARA BAFODIA),"N.B.C. PRIMARY SCHOOL , KAMBIA_2026_new",325,2309-2-05266,Old
KOINADUGU,KAMUKEH,Kambia MCHP,Turaya,N.B.C PRIMARY SCHOOL_2026_new,94,9999-9-99999,New
KOINADUGU,KAMUKEH,Kambia MCHP,PAMPAKOR (KAMUKEH),"N.B.C. PRIMARY SCHOOL ,_2026_new",163,2304-2-05075,Old
KOINADUGU,KAMUKEH,Mandia CHP,DALIPORTHOR (KAMUKEH),"N.B.C. PRIMARY SCHOOL, DALIPORTHOR_2026_new",224,2304-2-05076,Old
KOINADUGU,KAMUKEH,Mandia CHP,MANDAIA (KAMUKEH),ALHARRKAN ISLAMIC PRIMARY SCHOOL MANDIA_2026_new,149,2304-2-05080,Old
KOINADUGU,KAMUKEH,Thellia CHC,SEREKUDAY (KAMUKEH),N.B.C. PRIMARY SCHOOL_2026_new,335,2304-2-05073,Old
KOINADUGU,KAMUKEH,Thellia CHC,THALLIA (KAMUKEH),N.B.C. PRIMARY SCHOOL_2026_new,199,2304-2-05077,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),"ALHARRKAN PRIMARY SCHOOL ,FADUGU_2026_new",302,2305-2-05085,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new_new,304,2305-2-05090,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,419,2305-2-05091,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KABENDA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,150,2305-2-05092,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAFOGO (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,198,2305-2-05093,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAFOGO (KASUNKO KAKELLIAN),WEST AFIRCA METHODIST PRIMARY SCHOOL_2026_new_new,101,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAKEKOR,SAINT MINISTRY PRIMARY SCHOOL_2026_new_new,76,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAMABINKI (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new_new,225,2305-2-05094,Old
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,SANGBANBA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,145,2305-2-05096,Old
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAGBASIA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,110,2305-2-05081,Old
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAIGBUSUNA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,112,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMAKAY (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,141,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMAKENTHEYE (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,116,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMASORIE (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,104,2305-2-05082,Old
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi,KABENDUGU (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL_2026_new,105,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi,KABUTA (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL_2026_new,76,2305-2-13144,Old
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi,KAWEREH (KASUNKO KAKELLIAN),WESLEYAN PRIMARY SCHOOL KAKANU_2026_new,145,9999-9-99999,New
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi,MADINA KAMANDI (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,150,2305-2-05095,Old
KOINADUGU,NIENI,Fankoya CHP,FANKOYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,59,2306-2-05152,Old
KOINADUGU,NIENI,Fankoya CHP,KOMBATAMBAIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,130,2306-2-12860,Old
KOINADUGU,NIENI,Fankoya CHP,KOMBOTAMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,221,2306-2-05153,Old
KOINADUGU,NIENI,Fankoya CHP,YIBEN (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,113,2306-2-05155,Old
KOINADUGU,NIENI,Fankoya CHP,DANIYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,151,2306-2-05120,Old
KOINADUGU,NIENI,Fankoya CHP,SOYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,102,2306-2-05154,Old
KOINADUGU,NIENI,Fankoya CHP,SEWAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05128,Old
KOINADUGU,NIENI,Fankoya CHP,SEWAYA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,133,9999-9-99999,New
KOINADUGU,NIENI,Fankoya CHP,Dinkrayie,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,98,9999-9-99999,New
KOINADUGU,NIENI,Fankoya CHP,Soyayiraya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,94,9999-9-99999,New
KOINADUGU,NIENI,Fankoya CHP,YIBEN (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,87,9999-9-99999,New
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05108,Old
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KORO (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,88,2306-2-05112,Old
KOINADUGU,NIENI,Funumbakoro MCHP,NIENI KONDEMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,181,2306-2-05110,Old
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KURA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,60,2306-2-05109,Old
KOINADUGU,NIENI,Kaya CHP,KAMARO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,107,2306-2-05133,Old
KOINADUGU,NIENI,Kaya CHP,KAMARON (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,130,2306-2-05121,Old
KOINADUGU,NIENI,Kaya CHP,KAMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,60,2306-2-05134,Old
KOINADUGU,NIENI,Kaya CHP,KARANKAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,177,2306-2-05132,Old
KOINADUGU,NIENI,Kaya CHP,KAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,553,2306-2-05122,Old
KOINADUGU,NIENI,Kaya CHP,KOMBAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,151,2306-2-05113,Old
KOINADUGU,NIENI,Kaya CHP,NYANDAKDIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05130,Old
KOINADUGU,NIENI,Krutor CHP,GBENEKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,156,2306-2-05124,Old
KOINADUGU,NIENI,Krutor CHP,GBENIKORO 2 (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,151,2306-2-05146,Old
KOINADUGU,NIENI,Krutor CHP,KRUTOR (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,238,2306-2-05126,Old
KOINADUGU,NIENI,Krutor CHP,MELYIFEH (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05135,Old
KOINADUGU,NIENI,Mangay MCHP,BAKOYA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,67,2306-2-12856,Old
KOINADUGU,NIENI,Mangay MCHP,BAMBAYIRIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,74,2306-2-12862,Old
KOINADUGU,NIENI,Mangay MCHP,MANGAY (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,170,2306-2-05115,Old
KOINADUGU,NIENI,Mangay MCHP,Paria,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,72,9999-9-99999,New
KOINADUGU,NIENI,Safinya MCHP,KOYIYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05125,Old
KOINADUGU,NIENI,Safinya MCHP,SAFINYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,209,2306-2-05141,Old
KOINADUGU,NIENI,Safinya MCHP,SAFINYA (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,165,2306-2-05142,Old
KOINADUGU,NIENI,Safinya MCHP,Boikalia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,80,9999-9-99999,New
KOINADUGU,NIENI,Safinya MCHP,Wosokorolia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,86,9999-9-99999,New
KOINADUGU,NIENI,Santi Balia MCHP,SANTI BALIA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,149,2306-2-05150,Old
KOINADUGU,NIENI,Sumbaria CHP,BANGURIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,48,2306-2-12863,Old
KOINADUGU,NIENI,Sumbaria CHP,GBENBERIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,181,2306-2-05139,Old
KOINADUGU,NIENI,Sumbaria CHP,MABALA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,199,2306-2-05140,Old
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),ANSARUL ISLAMIC PRIMARY SCHOOL_2026_new,59,2306-2-05144,Old
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,273,2306-2-05145,Old
KOINADUGU,NIENI,Sumbaria CHP,GBENEKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,80,2306-2-05123,Old
KOINADUGU,NIENI,Sumbaria CHP,SAWURIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,85,2306-2-05116,Old
KOINADUGU,NIENI,Yiffin CHC,KULANYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,98,2306-2-05160,Old
KOINADUGU,NIENI,Yiffin CHC,TILIKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2306-2-05129,Old
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,180,2306-2-05161,Old
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,250,2306-2-05163,Old
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,68,2306-2-05162,Old
KOINADUGU,NIENI,Yiffin CHC,YIFFIN,NEW HARVEST PRIMARY SCHOOL_2026_new,0,9999-9-99999,New
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),IMATY PRIMARY SCHOOL_2026_new,62,9999-9-99999,New
KOINADUGU,SENGBE,Bambukoro CHP,BAMBUKORO (SENGBE),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,289,2307-2-05180,Old
KOINADUGU,SENGBE,Bambukoro CHP,BAMBUKORO (SENGBE),SIERRA LEONE MUSLIMBROTHERHOOD PRIMARY SCHOOL_2026_new,188,2307-2-13688,Old
KOINADUGU,SENGBE,Bambukoro CHP,YOMADUGU,ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,231,9999-9-99999,New
KOINADUGU,SENGBE,Bambukura MCHP,BANBUKURA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,253,2307-2-05184,Old
KOINADUGU,SENGBE,Gbenikoro CHP,FRONOYA (SENGBE),BINTA'S ANGEL NETWORK FORONONYA_2026_new,157,2307-2-05182,Old
KOINADUGU,SENGBE,Gbenikoro CHP,GBENIKORO (SENGBE),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,278,2307-2-05178,Old
KOINADUGU,SENGBE,Gbenikoro CHP,TANENEH,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,160,9999-9-99999,New
KOINADUGU,SENGBE,Koinadugu 11 CHC,DUNDUKOR (SENGBE),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,278,2307-2-05185,Old
KOINADUGU,SENGBE,Koinadugu 11 CHC,KALKOYA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,155,2307-2-05181,Old
KOINADUGU,SENGBE,Koinadugu 11 CHC,KOINADUGU (SENGBE),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,241,2307-2-05186,Old
KOINADUGU,SENGBE,Koinadugu 11 CHC,YIRAFILAYA BADALA,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,231,9999-9-99999,New
KOINADUGU,SENGBE,Malaforia MCHP,MALAFORIA (SENGBE),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,200,2307-2-05169,Old
KOINADUGU,SENGBE,Malaforia MCHP,NYFRANDON,COMMUNITY PRIMARY SCHOOL_2026_new,88,9999-9-99999,New
KOINADUGU,SENGBE,Malaforia MCHP,SENGBE BENDUGU (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,70,2307-2-05170,Old
KOINADUGU,SENGBE,Momoriemaria MCHP,KANYOKAYA,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,126,9999-9-99999,New
KOINADUGU,SENGBE,Momoriemaria MCHP,KEREDUDU,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,86,9999-9-99999,New
KOINADUGU,SENGBE,Momoriemaria MCHP,MOMORIMAYAN (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,185,2307-2-05176,Old
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,224,2307-2-05214,Old
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA - KABALA (SENGBE),AHMADIYYA MUSLIM PRIMARY SCHOOL_2026_new,447,2307-2-05216,Old
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIA KABALA (SENGBE),"CHRISTIAN REFORMED CHURCH PRIMARY SCHOOL, KABALA_2026_new",210,2307-2-05174,Old
KOINADUGU,SENGBE,Narsarah Clinic,YOGOMAIAI (SENGBE),BRIGHT HORIZON PRIMARY SCHOOL_2026_new,173,2307-2-05219,Old
KOINADUGU,SENGBE,SLRCS,FARANDUGU (SENGBE),ISLAMIC PRIMARY SCHOOL_2026_new,650,9999-9-99999,New
KOINADUGU,SENGBE,SLRCS,YOGOMAIA (SENGBE),GETHSEMANE EVANGELICAL MINISTRY PRIMARY SCHOOL_2026_new,101,2307-2-05217,Old
